phrase,timezone,signal_type,confidence,notes
# Explicit timezone codes - English
"I'm in PST",America/Los_Angeles,tz_code,high,pacific standard
"EST here",America/New_York,tz_code,high,eastern standard
"I'm on GMT",Europe/London,tz_code,high,greenwich
"CET timezone",Europe/Berlin,tz_code,high,central european
"We're in JST",Asia/Tokyo,tz_code,high,japan standard
"IST for me",Asia/Kolkata,tz_code,high,india standard
"AEST here",Australia/Sydney,tz_code,high,australian eastern
"MSK time",Europe/Moscow,tz_code,high,moscow time
"My timezone is CST",America/Chicago,tz_code,high,central standard
"Working in BST",Europe/London,tz_code,high,british summer

# UTC offset format
"I'm UTC+3",Europe/Moscow,utc_offset,high,explicit offset
"GMT+8 here",Asia/Singapore,utc_offset,high,singapore
"UTC-5",America/New_York,utc_offset,high,eastern
"We're GMT-8",America/Los_Angeles,utc_offset,high,pacific
"UTC+9",Asia/Tokyo,utc_offset,high,japan
"GMT+1",Europe/Paris,utc_offset,high,central europe
"UTC+5:30",Asia/Kolkata,utc_offset,high,india half-hour
"I'm at UTC+10",Australia/Sydney,utc_offset,high,sydney
"GMT-3 timezone",America/Sao_Paulo,utc_offset,high,brazil
"UTC+0",Europe/London,utc_offset,high,london winter

# IANA timezone format
"My tz is Europe/London",Europe/London,iana,high,full format
"America/New_York here",America/New_York,iana,high,full format
"I use Asia/Tokyo",Asia/Tokyo,iana,high,full format
"Set to Europe/Berlin",Europe/Berlin,iana,high,full format
"Australia/Sydney timezone",Australia/Sydney,iana,high,full format

# Cities - Major world cities
"I'm in London",Europe/London,city,high,uk capital
"Based in New York",America/New_York,city,high,us east
"Writing from Tokyo",Asia/Tokyo,city,high,japan capital
"I live in Berlin",Europe/Berlin,city,high,germany capital
"Here in Sydney",Australia/Sydney,city,high,australia
"Located in Paris",Europe/Paris,city,high,france capital
"I'm in LA",America/Los_Angeles,city,high,los angeles abbrev
"San Francisco here",America/Los_Angeles,city,high,sf bay
"From Singapore",Asia/Singapore,city,high,city-state
"Based in Dubai",Asia/Dubai,city,high,uae
"I'm in Mumbai",Asia/Kolkata,city,high,india
"Hong Kong here",Asia/Hong_Kong,city,high,hk
"Living in Toronto",America/Toronto,city,high,canada east
"I'm in Vancouver",America/Vancouver,city,high,canada west
"Amsterdam based",Europe/Amsterdam,city,high,netherlands
"Working from Madrid",Europe/Madrid,city,high,spain
"I'm in Seoul",Asia/Seoul,city,high,korea
"Beijing time",Asia/Shanghai,city,high,china capital
"Shanghai here",Asia/Shanghai,city,high,china
"Tel Aviv based",Asia/Jerusalem,city,high,israel
"I'm in Bangkok",Asia/Bangkok,city,high,thailand
"Melbourne here",Australia/Melbourne,city,high,australia
"Living in Chicago",America/Chicago,city,high,us central
"Denver based",America/Denver,city,high,us mountain
"I'm in Seattle",America/Los_Angeles,city,high,us pacific
"Boston here",America/New_York,city,high,us east
"Miami time",America/New_York,city,high,us east florida
"Austin based",America/Chicago,city,high,us central texas

# Cities - Russian
"Я в Москве",Europe/Moscow,city,high,russia capital
"Пишу из Питера",Europe/Moscow,city,high,saint petersburg
"Из Санкт-Петербурга",Europe/Moscow,city,high,spb formal
"Нахожусь в Новосибирске",Asia/Novosibirsk,city,high,siberia
"Я из Екатеринбурга",Asia/Yekaterinburg,city,high,urals
"Владивосток здесь",Asia/Vladivostok,city,high,far east
"В Казани",Europe/Moscow,city,high,tatarstan
"Из Минска",Europe/Minsk,city,high,belarus
"Я в Киеве",Europe/Kyiv,city,high,ukraine
"Алматы время",Asia/Almaty,city,high,kazakhstan

# Cities - German
"Ich bin in Berlin",Europe/Berlin,city,high,german
"Aus München",Europe/Berlin,city,high,munich
"In Frankfurt",Europe/Berlin,city,high,financial hub
"Hamburg hier",Europe/Berlin,city,high,north germany
"Ich lebe in Wien",Europe/Vienna,city,high,austria
"Zürich Zeit",Europe/Zurich,city,high,switzerland

# Cities - French
"Je suis à Paris",Europe/Paris,city,high,french
"Depuis Lyon",Europe/Paris,city,high,france
"À Marseille",Europe/Paris,city,high,south france
"Je vis à Montréal",America/Toronto,city,high,quebec
"Genève ici",Europe/Zurich,city,high,geneva
"Bruxelles",Europe/Brussels,city,high,belgium

# Cities - Spanish
"Estoy en Madrid",Europe/Madrid,city,high,spanish
"Desde Barcelona",Europe/Madrid,city,high,catalonia
"En Buenos Aires",America/Argentina/Buenos_Aires,city,high,argentina
"Ciudad de México",America/Mexico_City,city,high,mexico
"Bogotá aquí",America/Bogota,city,high,colombia
"Lima tiempo",America/Lima,city,high,peru
"Santiago de Chile",America/Santiago,city,high,chile

# Cities - Portuguese
"Estou em São Paulo",America/Sao_Paulo,city,high,brazil
"No Rio de Janeiro",America/Sao_Paulo,city,high,brazil
"Em Lisboa",Europe/Lisbon,city,high,portugal
"Porto aqui",Europe/Lisbon,city,high,portugal

# Cities - Italian
"Sono a Roma",Europe/Rome,city,high,italy
"Da Milano",Europe/Rome,city,high,milan
"A Firenze",Europe/Rome,city,high,florence

# Cities - Japanese
"東京です",Asia/Tokyo,city,high,tokyo japanese
